Redacao	Nota
Muito se tem discutido, recentemente,  acerca das manifestações que vem ocorrendo no Brasil e dos resultados decorrentes dessa protestação que acontece de forma tão pavorosa para nossos lideres políticos. Será que mudará algo na política brasileira? Ao examinar alguns dos motivos desses protestos como a PEC 37, cerifica-se que pelo menos 62 % da corrupção dentro das câmaras  municipais diminuirá com a formulação da lei que filtra os políticos com ficha suja do senado . Além da lei que reduz de vinte a trinta e cinco centavos do dispêndio com os ônibus coletivos. Ainda convém lembrar que não foram só essas as mudanças, mas também varias outras de elevada importância para o povo, como: melhoras na educação, a aplicação da verdadeira “democracia” que a nação espera e a desmoralização da politica adotada pelo governo. Em virtude dos fatos mencionados, a população brasileira tem recebido respostas positivas se tratando das reivindicações feitas, agora só nos resta esperar que o Brasil seja um país com olhos para a população e não afrouxar o laço colocado em nossos representantes.	1
Com o preparativo dos grandiosos eventos esportivos que serão sediados no Brasil em 2014, tornou-se inevitável o despertar da população em relação a todos os problemas e déficits presentes na segurança, educação e infraestrutura do país. Milhões de brasileiros saem às ruas reivindicando soluções ao governo em relação ao aumento da tarifa do transporte público e em relação à falta de investimento dos governantes em prol da segurança, educação e saúde. É possível dizer que a população brasileira realmente acordou, e a democracia está ainda mais em vigor , pois com todas estas manifestações os políticos foram submetidos de uma forma vagarosa a cumprir o que a população reivindica a tanto tempo. Em qualquer cartaz ou pronunciamento, as manifestações condenam firmemente os grandes gastos efetuados com os preparativos para a copa do mundo , que esta sendo exclusivamente o centro das atenções, enquanto questões como hospitais hiper lotados sem infraestrutura alguma, falta de segurança nas ruas e a má qualidade de ensino, são presenciados diariamente no decorrer de todos os anos, sem melhora ou importância alguma da parte governamental. Além disso, é importante lembrar que tais manifestações estão gerando grande orgulho e honra a democracia brasileira, mas o que não esta sendo positivo é a violência cometida por parte de alguns manifestantes. Tais indivíduos, infelizmente vão às ruas para depredar o patrimônio publico e para iniciar confrontos com a polícia, gerando inúmeros acidentes e prejuízos incontáveis para a própria população, pois tudo o que é depredado no país, é simplesmente descontado de cada cidadão brasileiro por meio dos impostos, sendo algo negativo ao país. A copa do mundo sediada no Brasil, com certeza gerará muitos empregos, mas, com tanta evolução mundial, não é possível mais presenciar pessoas morrendo em hospitais por falta de profissionais, cidadãos honestos sendo roubados e assassinados a todo momento e precariedade no ensino publico . Portanto, deve haver cada vez mais manifestações pacificas enquanto o governo não tomar as medidas e atitudes necessárias, pois um país como o Brasil necessita de muitos investimentos em educação, saúde e segurança, que são sempre camuflados e deixados por último pelos políticos.	4
Queremos um país de primeiro mundo, queremos mais saúde, melhor educação, qualidade de vida, sim queremos. Mas como conseguir, como chamar a atenção do poder executivo e principalmente como chamar a atenção uns dos outros? Sim  tivemos primeiro que descobrir que a união faz a força, que juntos poderíamos tentar, sonhar com um país mais digno, digno do seu povo aguerrido e bravo, povo que batalha todos os dias, cada um a  sua forma, cada um com seus anseios! Uns buscando a realização profissional, outros a realização de uma família, uns apenas lutando pra viver, e o mais fantástico de tudo isso é que todos se uniram por um só objetivo  a MUDANÇA, mudar para melhor. Sei que falamos aqui muito das pessoas e até agora não citamos nada prático, talvez por pensarmos que a maior mudança esteja realmente nas pessoas, com todas essas manifestações vamos buscar em nós mesmos e no próximo sempre o melhor, fazer sempre o certo, somos o espelho do que queremos no poder, então a mudança começa por nós. Portanto, o primeiro passo já foi dado, mostramos que é preciso mudar o rumo do nosso país, mudar os valores, investir o dinheiro da maneira correta iniciando pelos serviços básicos, saúde, educação, segurança,  transporte. Priorizar essas necessidades é dever, sempre soubemos disso, o que muda depois de todas essas manifestações, é realmente a percepção de que estamos mais perto do que imaginamos de ver um resultado mais que positivo, que ficara sim na memória e nos corações de cada brasileiro, pois estando ou não no meio das gigantes manifestações, o gigante acordou dentro de cada um de nós.	7.5
Para se tornar um país com democracia como forma de governo, o Brasil passou por muitas lutas, e mesmo com essa conquista a atual geração de brasileiros nos últimos anos não consideram que seu país esteja em uma democracia justa. Vale lembrar que o real significado de democracia é o poder nas mãos do povo, para que ela seja eficiente é preciso que de alguma forma a população decida seu próprio destino. Sabe-se que o que vigora hoje no país é a democracia representativa, ou seja, através do voto, os cidadãos escolhem seus representantes, que uma vez eleitos tomarão as decisões em nome do povo . Isto não significa que este deve estar sempre satisfeito com estas decisões, e é nesta situação que o Brasil se encontra atualmente,  milhares de pessoas insatisfeitas se levantam para protestar e reivindicar seus direitos. Exceto a minoria composta por vândalos que destroem o patrimônio público e privado no momento das manifestações, todos estão corretos. Por ter demorado tanto para protestar o povo tem um acumulo de reclamações, e um certo estranhamento, mas contudo,  os brasileiros não praticavam política tão bem assim há muitos anos. Existe um grande contraste,  por um lado parte dos brasileiros comemora gols na copa das confederações, e por outro uma multidão é extremamente contraria ao uso do dinheiro público no evento. É impossível que um país inteiro tenha a mesma opinião, a verdade é que a estratégia do pão e circo usada na Roma antiga tem funcionado no Brasil com o futebol e estratégias do governo para dar dinheiro a famílias de baixa renda sem incentivar e educação e o trabalho. De forma alguma os protestos serão em vão, já é possível ver resultados, neste momento é muito importante que o povo saiba o que quer e lute até que consiga. Mas milhões de pessoas nas ruas nunca irão substituir o voto consciente. Num país grande como o Brasil não há como uma democracia direta ter sucesso, se os representantes tomarem as decisões certas o povo só vai precisar  ?ir para a rua?  no dia do voto . Antes que tudo saia do controle, os governantes devem ouvir o povo, concertar o que há de errado e falar claramente sobre o que é possível e o que é impossível para o país no momento. Todos sabem que o Brasil é o sétimo país mais rico do mundo, porém, existem milhares de brasileiros que vivem na miséria. Como políticos podem ignorar isso se o slogan político do Brasil é "um país rico é um país sem pobreza"? Esta é a hora do povo não tolerar mentiras, e dos políticos não encobrirem suas falhas.	5
“VERÁS QUE UM FILHO TEU NÃO FOGE À LUTA”. Este  foi alguns dos lemas que motivou toda a nação brasileira nos últimos dias a irem para as ruas reivindicar melhorias para nosso País . Começando pelo pedido de redução das tarifas do transporte público, principalmente nos Estados de São Paulo e Rio de Janeiro. Dando início assim a uma grande manifestação que se estendeu por todo o País . Após o começo dessa manifestação pacífica, o povo brasileiro quis mais, logo veio à sede de um País sem corrupção onde a Saúde e a Educação merece mais atenção que estádios feitos para Copa das Confederações e Copa do Mundo, tiveram também o pedido de rejeição da PEC (37)  que estava na mira dos protestos e muitas outras questões impostas. Mas será que já conseguimos alguma melhoria para o nosso País com essas manifestações? Finalmente os cidadãos do nosso País não se calaram diante de seus direitos.  Em algumas cidades os prefeitos já se posicionaram e decidiram então reduzir as tarifas dos transportes públicos, houve também a rejeição da PEC (37)  pela Câmara dos Deputados e isso já é uma grande vitória para nós. As manifestações não pararam, pretendendo assim mostrar que o povo brasileiro cansou e grita contra a impunidade. E para que o Brasil seja considerado “Um País de todos” ainda existem muitas questões a serem resolvidas, e principalmente,  temos que ser levado a sério pelos nossos dirigentes.	5
É notório: o Brasil é um país rico e está entre os dez maiores do mundo. Apesar disso, não se encontra nos serviços públicos dessa nação um espelho de tanta riqueza. E como  se não soubesse disso há tempos, a população, enfim, resolveu acordar. Com uma enorme onda de protestos que se espalharam de norte a sul, o povo clama em uma só voz: SOCORRO! Não conseguimos mais viver com tanta hipocrisia, falta de respeito e corrupção. Em meio a esse cenário de protestos, o que todos querem saber é quais serão os novos rumos do país. É evidente que algumas vitórias já foram alcançadas, uma vez que as tarifas de ônibus foram reduzidas nas principais cidades brasileiras, e na grande Goiânia foi implantado o passe livre. Mas os cidadãos aproveitaram tal movimento para pedir um basta à corrupção e exigir serviços públicos de qualidade. E mais: nossos governantes, pelo menos alguma parte deles, sentindo-se encurralados e começaram a agir. Precisamos urgentemente de melhorias, a burocracia pode esperar, porém o povo não. Conseguimos também que os royalties do petróleo sejam usados exclusivamente em educação e saúde, sistemas bastante fragilizados por aqui. Além disso, derrubamos a PEC 37. É o começo de uma nova era, marcada pelas revoluções e com fome por mudança, fome por justiça, forme por dignidade. Queremos “FOME ZERO”! Sendo assim, é necessário, portanto, que nossos representantes tomem atitudes rápidas - com soluções viáveis para a grande maioria que foi representada por aqueles que foram as ruas. Não podemos continuar nessa inercia chamada Brasil sem fazer nada, precisamos urgentemente de ajuda, não podemos deixar que milhares continuem morrendo de fome, doentes ou até mesmo lutando por um Estado melhor. É como dizia Geraldo Vandré: vem, vamos embora que esperar não é saber quem sabe faz a hora não espera acontecer.	7.5
O brasil um país rico em diversidade cultural, paisagem, pessoas de todo tipo, dentre tantas belezas naturais e culturais, tantos pontos positivos, mas também negativos; a corrupção toma conta de todo o país, e os brasileiros já não aguentam tanta hipocrisia, descaso com a população brasileira, ninguém aceitava, mais ninguém se posicionava para melhorar o Brasil.  Mas no ano de 2013 a população acordou para a vida, saíram para ruas reivindicando seus direitos, correndo atrás do prejuízo de muitos anos, e estão conseguindo com garra, com determinação, vitórias, pois o governo está se movimentando e vendo que também temos poderes de mudar nosso país, de não sermos mais políticos analfabetos, e correr atrás de nossos direitos . A mudança já começou em São Paulo, com a revogação da passagem e com certeza acontecerão mais melhorias para toda a população, pois não somos mais cegos e mudos, somos um povo brasileiro que não foge a luta , e aos poucos iremos mudar esse país . Vai nascer um novo Brasil, que ficara marcado na história que através de passeatas, de agressão física e verbal de policiais, conseguimos nosso objetivo que não é um Brasil perfeito , mas um Brasil digno e honesto.	2
"O gigante acordou". A frase que impulsionou as manifestações e foi tema de diversos cartazes nos faz pensar: será que o Brasil realmente despertou? Embora os protestos desses últimos dias obtiveram uma ascensão midiática impressionante, sabemos que isso não será o suficiente para alcançarmos o êxito em relação as pautas. É necessário, além da exposição de nossa insatisfação, darmos um prazo para que o governo regularize sua situação e cumpra o que foi reivindicado. Desse modo, se as devidas providências não forem tomadas, devemos voltar "às ruas". Democracia é isso: a constante fiscalização daqueles que nos representam dentro do contexto político nacional. Existe ainda uma questão sobre o que, de fato, mudará no país após esse movimento. Isso porque, toda  revolta possui um objetivo. Será que o Congresso aprovará os pedidos? Uma coisa é certa, já demos o passo de partida para a alteração do cenário. Através dos ocorridos, já conquistamos, por exemplo, em São Paulo e no Rio de Janeiro, a redução das tarifas dos transportes públicos; em âmbito nacional, a PEC 37, que limitaria o poder investigativo do Ministério Público, foi rejeitada. Entretanto, não foram solucionados todos os requisitos. Há ainda muito o que fazer. Melhorias na educação e na saúde são também bastante exigidas, uma vez que é lamentável que um país com economia crescente como o Brasil, ocupe o penúltimo lugar no ranking mundial da educação e o 72º no de saúde. Fundamentado no que foi exposto, é possível aferir que estamos em progresso . Porém, o trajeto será longo e árduo. Precisamos romper com alguns paradigmas e esquecer o famoso "jeitinho brasileiro", pois só assim estaremos inseridos no verdadeiro paraíso tropical: uma nação isenta de corrupção e agindo em benefício de todos.	7.5
Com camisetas brancas, uma cena linda, que com certeza entraria para historia , com a mente aberta para melhorar o Brasil, o povo acordou e foi as ruas exigir melhorias para nosso país. Exercendo sua democracia, cidadania o povo foi à luta em busca de mudanças, e de melhorias para população.  No começo as reinvindicações eram contra o aumento da passagem de ônibus, e aos poucos as ruas de todo o país foram ganhando caras as quais queriam mudanças já e um país melhor pra todos os cidadãos. Saúde, educação, segurança são de fato as principais reinvindicações . O governo assustado com tantos protestos se manifestou. A presidente Dilma Rousseff se reuniu, estabeleceu que 75% do pré-sal irão para educação, a contratação de médicos estrangeiros, dentre outras previsões . Mas os mesmos vêm mostrando que não querem só propostas querem ações imediatas, para grandes mudanças necessárias para a construção de um país melhor para todos brasileiros!	4.5
Atravéz das ondas de protestos que se alastraram pelo país, no último mês, ficou claro a indignação do povo brasileiro com os politícos e os diversos problemas sociais existentes no Brasil. Apesar de algumas conquistas, á uma grande incerteza quanto ao futuro, e se essas reivindicações vão realmente trazer mudanças para a vida da população. Os protestos começaram quando houve o aumento das tarifas de ônibus, trem e metrô, o que serviu de estopim para muitos outros, trazendo á tona questões como saúde, educação, transporte público de qualidade, igualdade social, diminuição do custo de vida etc. A população demonstrou atravéz das manifestações estar cansada da politíca brasileira, dos politícos e de suas promessas falsas. O povo veio as ruas, do norte ao sul do país, jóvens , adultos, senhores e até crianças, para lutar e cobrar por seus direitos,  e também obter esclarecimentos sobre o provável uso de dinheiro público para a constução de estádios, para a copa do mundo de 2014, e pelo fim da corrupção. As pessoas estão mais vigilantes sobre o que esta acontecendo no país. Os governantes se sentiram encurralados e tiveram de se explicar. Mais uma vez promessas de mudanças foram feitas, reacendendo nos brasileiros o sonho de um Brasil melhor para todos. Dessa forma, pode-se perceber que o povo quando unido possuí uma força surpreendente e é quem realmente manda num país. Alguns dos temas dos protestos foram avaliados e conquistados, por isso a uma esperança que mais conquistas venham com essas manifestações, porém deve haver união e objetividade entre a população, para que a luta continue e que tudo o que foi feito até aqui não tenha sido em vão.	5
Não há indícios de que o Brasil seja alvo de atentados terroristas, pelo menos não esse terrorismo desenhado pela mídia. Entretanto o país enfrenta grandes problemas de segurança pública e é evidente o despreparo do mesmo em relação a esse assunto. Tal despreparo não se converge aos profissionais de segurança, no entanto não basta simplesmente ter uma equipe de militares bem treinados, mas uma população mal instruída. Consequentemente teríamos uma falta de entrosamento e colaboração entre os militares e civis, tornando mais difícil o objetivo de evitar ou amenizar um possível atentado terrorista. Diante disso é necessário que os populares estejam bem preparados em caso de terrorismo. A distribuição de cartilhas explicando como se portar diante desse fato, juntamente com palestras em universidades, praças públicas e na própria mídia, seria uma medida viável para acabar com esse despreparo.	4
